signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_body.right_index.x,arms_measure_only,mp_body,1322,1.0,-62.66538093631735,-15.403779091769062,-11.536400720459637,51.12898021585771,0.022880390424982064
mp_body.right_index.y,arms_measure_only,mp_body,1322,1.0,24.417064083134278,39.49424952147912,48.974919875610716,24.55785579247644,0.05411150813090013
mp_body.right_index.z,arms_measure_only,mp_body,1322,1.0,-4.543169625103474,28.643684089183807,71.64316177368164,76.18633139878511,0.04719187744964454
mp_body.right_knee.x,lower_body_measure_only,mp_body,1322,1.0,-8.823075590994018,-7.030462611091959,-6.265170411490501,2.557905179503517,0.03335253003506011
mp_body.right_knee.y,lower_body_measure_only,mp_body,1322,1.0,-9.747649747710211,-2.5059017815356466,1.216321850493486,10.963971598203697,0.028774505728198407
mp_body.right_knee.z,lower_body_measure_only,mp_body,1322,1.0,-38.437558114528656,-37.831974029541016,-36.029567420482635,2.4079906940460205,0.02290257919799754
mp_body.right_knee_lift_from_hips,lower_body_measure_only,mp_body,1322,1.0,-38.46481179818511,-37.857607076875865,-36.06304835542687,2.401763442758238,0.023061364468444145
mp_body.right_pinky.x,arms_measure_only,mp_body,1322,1.0,-63.51315162964158,-18.235658860408883,-13.010461120867452,50.50269050877412,0.023031300972351038
mp_body.right_pinky.y,arms_measure_only,mp_body,1322,1.0,22.310606907410435,39.415397234712174,50.45853860095244,28.147931693542002,0.05229740986440612
mp_body.right_pinky.z,arms_measure_only,mp_body,1322,1.0,-5.547723285853863,25.657829642295837,70.7524561882019,76.30017947405577,0.047659738420778586
mp_body.right_shoulder.x,shoulders,mp_body,1322,1.0,-21.86077410327189,-18.37828515950512,-17.006784182084225,4.853989921187665,0.03284601413547797
mp_body.right_shoulder.y,shoulders,mp_body,1322,1.0,3.2564157952039396,13.124483354465047,22.121302035163513,18.864886239959574,0.04126919596502476
mp_body.right_shoulder.z,shoulders,mp_body,1322,1.0,44.78936702013016,46.13819271326065,48.02950635552406,3.2401393353939056,0.05918449911739712
mp_body.right_shoulder_lift_from_hips,shoulders,mp_body,1322,1.0,44.76557628484443,46.10890223411843,48.00596432876773,3.2403880439233035,0.059155160179104854
mp_body.right_thumb.x,arms_measure_only,mp_body,1322,1.0,-58.4433690690877,-16.57303871617872,-13.712749262712963,44.73061980637474,0.023794077015391157
mp_body.right_thumb.y,arms_measure_only,mp_body,1322,1.0,20.163357127762985,36.08206693697727,45.910442183467026,25.74708505570404,0.04879295402525097
mp_body.right_thumb.z,arms_measure_only,mp_body,1322,1.0,-0.4007113515399397,27.18752771615982,67.36465334892273,67.76536470046267,0.0476054794736917
mp_body.right_upper_arm_length,arms_measure_only,mp_body,1322,1.0,21.981964471602147,24.0812890535099,25.257652697521536,3.2756882259193887,0.03607175393492168
mp_body.right_wrist.x,arms_measure_only,mp_body,1322,1.0,-58.23557562668058,-18.420847990956112,-14.979122287717317,43.25645333896326,0.02391827077355438
mp_body.right_wrist.y,arms_measure_only,mp_body,1322,1.0,19.251686919703936,35.51615675058329,46.07509113842338,26.823404218719446,0.04831635312450175
mp_body.right_wrist.z,arms_measure_only,mp_body,1322,1.0,0.49722864758223295,26.433737576007843,66.93850666284561,66.44127801526338,0.04719307028980314
mp_body.shoulder_lift_l_minus_r,shoulders,mp_body,1322,1.0,0.6736381351947784,2.779872715473175,5.440724045038223,4.767085909843445,0.03264567709068558
mp_body.shoulder_mid.x,torso,mp_body,1322,1.0,-6.405407187183436,-2.8549204067515994,-1.6407035344057268,4.764703652777709,0.037013130929623994
mp_body.shoulder_mid.y,torso,mp_body,1322,1.0,0.42109699568555725,12.424527419469634,20.230672162422792,19.809575166737236,0.03975014053324722
mp_body.shoulder_mid.z,torso,mp_body,1322,1.0,46.232734844088554,47.65801057219505,49.513779655098915,3.2810448110103607,0.06410045925014982
mp_body.shoulder_width,shoulders,mp_body,1322,1.0,30.477961105369467,31.15247450061927,34.09297554842589,3.615014443056424,0.005861327063939437
mp_body.torso_forward_proxy,torso,mp_body,1322,1.0,0.5749390267906535,12.492297658406827,20.316370814672215,19.741431787881563,0.040030855193013415
mp_body.torso_height,torso,mp_body,1322,1.0,46.20830713189207,47.6261021947721,49.48640251212055,3.2780953802284785,0.0641403357764693
mp_body.torso_side_proxy,torso,mp_body,1322,1.0,-6.365452717290224,-2.590985955969845,-1.351289252925407,5.014163464364817,0.03546602294966544
mp_body.wrist_mid.x,arms_measure_only,mp_body,1322,1.0,-4.051258452049665,3.3471365168716867,6.694901498230999,10.746159950280664,0.05886194343000453
