signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_world.ear_mid.y,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.644035279750824,-0.6367054581642151,-0.15866645872592927,0.4853688210248947,0.007241717291144122
mp_world.ear_mid.z,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.30122161507606504,-0.19567949324846268,-0.07320645079016685,0.2280151642858982,0.04633457970098256
mp_world.ear_width,head_mp_diagnostic,mp_world,1323,0.9962349397590361,0.07006291366811554,0.14716744338651722,0.1541185559490741,0.08405564228095855,0.022879174914048186
mp_world.hip_mid.x,pelvis,mp_world,1323,0.9962349397590361,-0.00047021247446537017,-0.0003088638186454773,0.00010764857288450002,0.0005778610473498702,0.00892507791326973
mp_world.hip_mid.y,pelvis,mp_world,1323,0.9962349397590361,-0.000703192874789238,-0.0002311284188181162,-7.053818553686145e-05,0.0006326546892523765,0.012117553821883155
mp_world.hip_mid.z,pelvis,mp_world,1323,0.9962349397590361,0.0001722073182463646,0.00019490346312522888,0.00031002238392829895,0.00013781506568193435,0.03483630652706015
mp_world.hip_width,pelvis,mp_world,1323,0.9962349397590361,0.167252505064745,0.20653592445700306,0.2122755922412878,0.0450230871765428,0.004515602440664242
mp_world.left_ankle.x,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.20900716483592985,0.1985030621290207,0.2242394864559173,0.43324665129184714,0.04801111967808876
mp_world.left_ankle.y,lower_body_measure_only,mp_world,1323,0.9962349397590361,0.01849873606115585,0.7198272943496704,0.7327925741672516,0.7142938381060958,0.04706704729733598
mp_world.left_ankle.z,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.09245969802141189,0.10839930921792984,0.15282736569643016,0.24528706371784204,0.04226777827876523
mp_world.left_ankle_lift_from_hips,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.09260527417063713,0.10821564681828022,0.15264167403802273,0.24524694820865986,0.04226923890542384
mp_world.left_ear.x,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.22301547974348068,0.0075567737221717834,0.513893687725067,0.7369091674685477,0.010647891233577598
mp_world.left_ear.y,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.650419956445694,-0.6428973078727722,-0.12853102684021026,0.5218889296054837,0.00713023838606165
mp_world.left_ear.z,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.3308502286672592,-0.2026587277650833,-0.08315691426396372,0.2476933144032955,0.04665953752892726
mp_world.left_elbow.x,arms_measure_only,mp_world,1323,0.9962349397590361,0.14536505490541457,0.203324556350708,0.4881586849689484,0.3427936300635338,0.010023114573484392
mp_world.left_elbow.y,arms_measure_only,mp_world,1323,0.9962349397590361,-0.33429900705814364,-0.24904805421829224,0.003403678233735263,0.3377026852918789,0.013450560972331554
mp_world.left_elbow.z,arms_measure_only,mp_world,1323,0.9962349397590361,-0.2241937905550003,-0.11032231897115707,-0.07785937264561657,0.14633441790938373,0.07245608985773509
mp_world.left_eye.x,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.2966290146112442,-0.060942795127630234,0.4858757883310317,0.7825048029422759,0.011083957437106195
mp_world.left_eye.y,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.6478453755378724,-0.6365893483161926,-0.1709708526730538,0.4768745228648186,0.009528381486981858
mp_world.left_eye.z,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.38057702481746675,-0.29760655760765076,-0.12044194862246531,0.2601350761950014,0.0392472639971541
mp_world.left_eye_inner.x,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.2962860703468323,-0.06051172688603401,0.48602867722511284,0.7823147475719452,0.011090461581385862
mp_world.left_eye_inner.y,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.647855693101883,-0.6366164684295654,-0.17049316614866264,0.47736252695322035,0.009503526097834936
mp_world.left_eye_inner.z,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.3788913667201996,-0.295770525932312,-0.11905570775270477,0.25983565896749483,0.03926388094828508
mp_world.left_eye_outer.x,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.2961696654558182,-0.06051070988178253,0.48624651730060564,0.7824161827564238,0.011086476498517123
mp_world.left_eye_outer.y,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.6480236351490021,-0.6367722749710083,-0.17048028111457827,0.47754335403442383,0.009559862156646068
mp_world.left_eye_outer.z,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.37854061424732205,-0.2957668900489807,-0.11866117119789138,0.25987944304943067,0.03927346330987158
mp_world.left_foot_index.x,arms_measure_only,mp_world,1323,0.9962349397590361,-0.3077568382024765,0.1703234612941742,0.19362428337335585,0.5013811215758324,0.04634952756354259
mp_world.left_foot_index.y,arms_measure_only,mp_world,1323,0.9962349397590361,0.019802563264966065,0.6157574653625488,0.6380604326725006,0.6182578694075345,0.0657488196036936
mp_world.left_foot_index.z,arms_measure_only,mp_world,1323,0.9962349397590361,-0.11216914430260658,0.23442721366882324,0.2706263601779938,0.3827955044806004,0.031748960895045905
mp_world.left_forearm_length,arms_measure_only,mp_world,1323,0.9962349397590361,0.10651223862606442,0.22680913750190856,0.23113798884451658,0.12462575021845217,0.015078028100780357
mp_world.left_heel.x,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.23406580686569212,0.20722024142742157,0.23499035537242885,0.46905616223812097,0.04658000950999605
mp_world.left_heel.y,lower_body_measure_only,mp_world,1323,0.9962349397590361,0.01974739730358125,0.7667632699012756,0.7804109275341033,0.7606635302305221,0.050887380149456686
mp_world.left_heel.z,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.08515478596091271,0.10934460163116455,0.15762736648321152,0.2427821524441242,0.04444129425251725
mp_world.left_hip.x,pelvis,mp_world,1323,0.9962349397590361,0.008906027581542731,0.10003210604190826,0.10461271181702614,0.09570668423548341,0.007183953524461218
mp_world.left_hip.y,pelvis,mp_world,1323,0.9962349397590361,-0.023481172509491444,-0.00621241657063365,0.07301826924085617,0.09649944175034761,0.008367135342874537
mp_world.left_hip.z,pelvis,mp_world,1323,0.9962349397590361,-0.047437290847301486,-0.014558983966708183,-0.007219883427023888,0.0402174074202776,0.024410607328062835
mp_world.left_index.x,arms_measure_only,mp_world,1323,0.9962349397590361,0.09572192057967185,0.1824411302804947,0.4977698326110839,0.402047912031412,0.013240726166172632
mp_world.left_index.y,arms_measure_only,mp_world,1323,0.9962349397590361,-0.1652768835425377,0.017434149980545044,0.03430974967777728,0.19958663322031497,0.02917076937225305
mp_world.left_index.z,arms_measure_only,mp_world,1323,0.9962349397590361,-0.33093607127666474,-0.2651504874229431,-0.09710472598671915,0.2338313452899456,0.06500844136716623
mp_world.left_knee.x,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.004684036457911117,0.12968777120113373,0.13992214798927305,0.14460618444718418,0.08487433220896777
mp_world.left_knee.y,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.030910549499094477,0.35821235179901123,0.3652580738067627,0.39616862330585717,0.03896613794183504
mp_world.left_knee.z,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.20172662287950516,-0.010567989200353622,0.008797047939151502,0.21052367081865667,0.04869220951717194
mp_world.left_knee_lift_from_hips,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.20194973666220903,-0.010746006853878498,0.008609683671966172,0.2105594203341752,0.04871058926928589
mp_world.left_pinky.x,arms_measure_only,mp_world,1323,0.9962349397590361,0.12452415674924851,0.20992936193943024,0.4961287707090377,0.3716046139597892,0.013616121861755086
mp_world.left_pinky.y,arms_measure_only,mp_world,1323,0.9962349397590361,-0.15324873626232147,0.027743227779865265,0.044071127101778976,0.19731986336410046,0.02650417124906299
mp_world.left_pinky.z,arms_measure_only,mp_world,1323,0.9962349397590361,-0.2949656844139099,-0.22393862903118134,-0.08829787075519603,0.2066678136587139,0.07234600207645119
mp_world.left_shoulder.x,shoulders,mp_world,1323,0.9962349397590361,-0.01733707636594772,0.11740505695343018,0.43247071802616116,0.4498077943921089,0.0114082367527287
mp_world.left_shoulder.y,shoulders,mp_world,1323,0.9962349397590361,-0.48748681247234343,-0.47375574707984924,-0.034695006161928256,0.45279180631041516,0.0054565066749763195
mp_world.left_shoulder.z,shoulders,mp_world,1323,0.9962349397590361,-0.24746528565883635,-0.13873006403446198,-0.059496213868260386,0.18796907179057598,0.05095722641264677
